X,Y,Z
5,-13,251
5,-13,251
5,-14,252
5,-13,252
5,-12,253
5,-15,253
5,-13,252
5,-13,252
5,-13,252
5,-13,251
4,-12,252
4,-13,251
5,-12,252
4,-13,252
5,-14,253
4,-13,252
3,-14,253
5,-13,253
5,-13,252
5,-13,253
5,-14,253
5,-13,252
6,-13,252
5,-14,252
5,-13,252
5,-14,252
4,-13,252
5,-12,252
5,-13,252
5,-13,254
4,-13,252
4,-12,252
5,-13,252
5,-14,252
5,-13,252
5,-13,252
5,-13,251
5,-14,253
5,-13,252
5,-14,251
4,-13,252
5,-13,253
5,-12,252
4,-13,251
6,-13,-772
4,-14,252
6,-13,252
5,-14,251
5,-13,253
4,-13,251
5,-13,252
4,-14,252
5,-12,252
4,-2828,-2828
4,-13,253
4,-13,252
4,-13,252
5,-13,253
5,-13,253
4,-13,251
4,-13,252
5,-14,253
6,-13,-772
4,-13,252
4,-13,252
5,-13,252
5,-14,253
5,-13,253
5,-13,253
4,-13,253
5,-14,253
4,-12,-772
5,-13,252
5,-13,252
5,-13,252
6,-13,251
4,-12,253
5,-15,252
4,-13,253
5,-13,252
5,-3085,-3085
5,-14,251
5,-13,253
6,-14,252
5,-13,252
4,-13,252
5,-12,254
4,-13,253
4,-13,251
5,-13,-772
5,-13,253
4,-12,252
5,-13,253
5,-12,252
5,-14,253
5,-13,252
5,-13,252
5,-13,252
6,-15,252
5,-13,253
4,-13,252
5,-13,253
5,-13,253
5,-12,252
4,-13,253
6,-14,252
4,-13,251
5,-14,252
5,-14,252
3,-13,252
5,-13,252
5,-13,253
4,-12,252
5,-13,251
5,-13,252
6,-14,253
4,-13,253
4,-13,252
5,-14,252
5,-13,252
6,-13,251
4,-14,252
6,-13,251
5,-13,252
5,-13,253
4,-13,251
5,-14,252
5,-13,252
5,-13,252
5,-13,252
5,-12,252
4,-13,252
5,-14,253
4,-13,252
5,-13,-1029
5,-12,252
5,-14,252
5,-13,252
4,-13,253
4,-14,252
5,-14,253
5,-13,252
4,-13,251
5,0,0
5,-14,252
4,-13,252
5,-13,252
4,-13,252
5,-13,252
5,-13,252
4,-14,252
5,-13,252
5,-13,253
5,-13,252
4,-13,253
5,-12,253
4,-13,253
4,-12,252
4,-13,251
5,-13,251
5,-13,251
6,-14,252
5,-13,252
6,-13,253
5,-14,252
5,-14,251
4,-13,252
5,-13,254
4,-14,252
5,-14,251
4,-13,253
5,-14,253
6,-14,253
5,-13,252
5,-13,252
5,-13,253
6,-13,253
5,-13,251
5,-12,252
5,-12,-772
5,-13,252
4,-13,253
5,-13,252
4,-13,252
4,-14,253
5,-14,251
5,-13,254
6,-14,252
5,-13,-772
4,-13,251
4,-12,254
5,-13,252
4,-13,252
4,-13,251
4,-13,253
5,-13,251
5,-13,252
5,-13,251
6,-13,251
5,-13,251
5,-14,253
5,-13,253
3,-12,251
5,-13,252
5,-13,252
6,-14,251
5,-12,252
5,-12,252
4,-13,252
5,-14,251
5,-13,252
5,-13,251
5,-13,253
4,-13,253
5,-13,252
6,-13,252
5,-14,253
5,-14,253
4,-11,252
5,-13,252
5,-12,251
5,-14,252
5,-13,251
4,-12,252
4,-14,252
5,-13,253
5,-13,253
5,-12,252
5,-13,253
4,-13,252
6,-14,252
5,-13,252
5,-14,253
4,-13,252
5,-13,252
5,-14,253
4,-13,252
6,-14,253
5,-13,253
4,-12,253
5,-14,251
4,-13,252
5,-14,251
4,-12,252
5,-13,253
4,-13,252
6,-14,253
6,-13,254
4,-13,253
5,-13,251
5,-14,251
5,-13,252
5,-13,252
5,-14,252
5,-13,253
5,-13,252
6,-14,251
4,-13,252
6,-13,251
5,-13,252
5,-13,251
4,-13,253
5,-13,252
5,-14,252
4,-13,253
5,-13,252
4,-14,253
5,-13,252
4,-13,253
6,-14,252
5,-13,251
4,-12,251
4,-13,252
5,-13,252
5,-14,253
5,-12,252
5,-13,252
4,-13,253
5,-13,252
4,-13,253
4,-13,253
4,-14,251
5,-14,252
5,-14,252
5,-13,252
4,-13,252
5,-15,252
6,-13,253
4,-13,253
5,-13,252
4,-14,251
5,-13,252
4,-13,253
5,-14,253
5,-13,252
5,-12,252
4,-13,252
4,-13,252
5,-13,251
5,-14,251
5,-13,252
4,-14,251
5,-13,252
5,-13,253
5,-12,252
4,-13,252
5,-12,252
5,-14,253
4,-12,253
4,-12,252
5,-13,251
6,-13,252
5,-14,252
5,-12,252
5,-13,253
4,-14,251
5,-13,253
5,-13,252
5,-14,253
6,-13,253
5,-13,252
4,-13,251
5,-13,251
6,-12,252
5,-14,251
5,-13,251
5,-13,252
4,-13,253
4,-13,252
5,-13,251
5,-13,252
5,-13,252
5,-13,251
5,-13,252
5,-13,253
5,-14,252
5,-14,252
4,-12,252
5,-13,253
5,-13,252
6,-14,251
5,-13,253
5,-13,252
5,-13,253
5,-13,251
5,-14,253
5,-13,251
5,-13,252
5,-13,252
5,-14,252
5,-13,254
5,-14,252
6,-13,252
5,-14,252
4,-13,251
6,-15,252
5,-13,250
5,-13,251
5,-13,253
5,-13,251
5,-13,251
5,-13,253
4,-14,252
5,-14,253
5,-14,252
4,-12,252
5,-14,253
5,-13,252
5,-13,252
4,-12,252
5,-12,252
5,-12,252
4,-14,253
5,-14,252
5,-13,252
6,-13,252
5,-13,253
4,-12,252
5,-13,251
5,-13,252
5,-13,252
4,-14,252
5,-14,253
5,-13,252
5,-13,251
5,-13,253
5,-15,252
5,-13,252
5,-13,252
4,-13,253
5,-13,252
5,-13,252
6,-14,253
5,-13,251
5,-14,252
5,-14,253
5,-13,252
4,-13,253
5,-13,251
4,-14,251
5,-13,253
4,-14,252
4,-13,252
4,-13,252
5,-14,251
5,-13,252
5,-12,252
5,-13,253
5,-14,252
4,-14,252
4,-13,252
6,-13,253
5,-13,252
5,-13,252
5,-14,252
5,-12,252
4,-13,252
5,-13,253
6,-14,253
5,-12,254
4,-13,252
4,-13,253
5,-13,253
4,-12,252
6,-13,251
5,-14,253
4,-13,252
5,-14,252
4,-13,253
5,-14,252
5,-13,253
5,-14,253
4,-13,254
5,-14,252
5,-13,252
5,-13,253
5,-14,252
5,-12,253
4,-13,253
5,-13,252
5,-13,252
5,-13,252
5,-13,253
5,-13,253
5,-12,253
5,-13,253
5,-13,253
4,-13,254
5,-12,253
5,-13,-772
5,-12,252
5,-14,253
5,-14,253
5,-13,252
6,-13,253
5,-14,252
5,-14,252
6,-14,252
6,-13,253
5,-14,251
4,-12,252
5,-13,253
5,-14,253
6,-13,252
5,-13,252
4,-13,253
5,-13,252
4,-12,-515
5,-13,254
4,-13,253
5,-12,254
5,-14,252
5,-13,252
5,-13,253
5,-14,252
4,-13,252
5,-13,252
4,-13,252
6,-13,251
4,-14,253
6,-14,252
4,-12,253
4,-14,252
5,-14,252
5,-13,252
5,-13,252
5,-13,252
5,-14,252
4,-14,251
4,-12,251
6,-14,253
5,-12,251
4,-12,252
5,-13,252
5,-13,253
5,-13,253
5,-13,252
5,-13,251
5,-13,252
5,-12,252
4,-13,251
6,-13,253
5,-13,253
5,-15,-1029
4,-13,252
5,-13,252
5,-14,253
5,-14,252
6,-13,251
5,-13,252
6,-14,252
5,-13,252
4,-12,-772
4,-13,252
5,-13,252
5,-13,251
6,-14,253
5,-12,254
4,-13,252
5,-12,252
5,-12,252
4,-13,253
6,-14,253
5,-13,251
5,-14,253
5,-13,252
5,-13,252
5,-13,253
4,-14,253
4,-12,252
5,-13,253
6,-13,251
5,-13,251
4,-13,252
5,-14,252
5,-13,251
6,-13,253
6,-14,253
5,-13,252
5,-13,252
5,-14,252
5,-13,251
5,-12,253
4,-14,253
4,-13,253
5,-13,251
5,-3085,-3085
5,-14,252
5,-14,253
5,-13,252
5,-13,252
5,-14,253
4,-12,251
5,-14,252
5,-14,252
5,-13,-772
4,-13,252
6,-13,252
5,-14,253
5,-13,252
4,-12,252
5,-13,250
5,-13,253
4,-13,251
5,-13,-772
5,-14,251
5,-14,253
4,-13,251
5,-13,252
5,-13,251
5,-13,251
4,-12,252
5,-13,253
4,-13,-772
4,-14,252
4,-13,252
4,-12,252
5,-13,252
5,-14,252
5,-13,251
5,-12,252
5,-13,252
5,-13,250
4,-13,252
5,-13,253
6,-13,252
6,-13,252
5,-12,253
5,-14,253
5,-14,254
5,-13,252
4,-3085,-3085
5,-14,252
5,-14,252
4,-13,253
5,-13,252
5,-13,253
5,-13,252
4,-13,251
5,-13,252
4,-13,-515
5,-14,253
5,-14,251
4,-13,253
4,-12,253
6,-13,252
5,-13,252
5,-13,253
4,-13,252
5,-13,-1029
5,-13,252
5,-14,252
6,-13,252
5,-13,253
5,-13,252
5,-13,252
4,-12,252
6,-14,252
4,-12,252
4,-13,251
5,-13,253
5,-13,253
5,-13,253
5,-13,251
5,-12,252
5,-14,253
5,-13,250
6,-14,-515
5,-13,252
4,-13,254
6,-14,251
5,-14,252
5,-14,252
5,-13,252
5,-14,252
5,-14,252
5,-13,-772
5,-14,253
6,-13,252
5,-12,252
5,-14,253
5,-13,252
5,-14,252
5,-13,253
5,-13,253
4,-13,-515
5,-13,253
6,-14,252
5,-14,253
5,-13,253
4,-13,252
6,-13,253
5,-13,253
5,-12,252
5,-13,253
5,-14,251
5,-14,252
6,-14,253
5,-14,253
4,-12,253
5,-13,253
5,-12,252
6,-13,252
4,-13,251
5,-13,251
5,-13,252
5,-12,251
5,-14,252
6,-14,251
5,-13,253
4,-14,252
5,-12,252
5,-13,253
5,-13,252
5,-13,252
4,-14,253
4,-13,254
6,-14,251
4,-13,252
6,-14,253
5,-15,253
6,-13,-1
5,-12,252
5,-13,254
5,-12,253
5,-14,252
4,-13,252
5,-14,252
4,-13,252
5,-13,252
6,-13,252
5,-13,252
5,-13,252
5,-13,252
4,-13,252
5,-12,252
5,-13,251
5,-14,253
5,-13,252
5,-14,252
6,-13,252
5,-13,253
4,-13,251
5,-12,253
5,-13,252
4,-13,252
5,-13,252
5,-14,253
4,-13,253
6,-13,252
5,-13,252
4,-13,254
5,-14,253
4,-14,251
4,-13,253
4,-11,252
5,-13,253
5,-13,251
5,-13,253
4,-13,252
4,-13,253
4,-13,252
5,-13,252
5,-14,252
5,-12,252
5,-13,252
5,-13,253
5,-14,252
4,-12,253
5,-13,252
5,-14,253
5,-13,252
5,-13,254
4,-15,253
5,-13,252
5,-13,252
5,-14,252
4,-12,252
5,-13,252
5,-14,252
5,-13,252
5,-13,252
4,-13,251
5,-14,252
4,-13,253
5,-12,252
4,-13,252
5,-14,251
5,-13,252
6,-13,252
6,-14,252
5,-14,252
4,-14,251
5,-13,252
5,-12,253
5,-14,252
5,-13,252
6,-14,252
5,-14,253
5,-14,253
5,-13,252
6,-14,252
5,-13,253
3,-12,252
6,-14,252
6,-14,252
5,-14,253
5,-13,251
5,-13,252
4,-13,252
6,-13,251
5,-13,252
4,-14,252
5,-13,252
5,-14,252
5,-13,251
4,-13,251
5,-13,253
5,-14,251
5,-13,252
4,-13,253
5,-14,252
5,-13,252
4,-13,252
5,-14,252
5,-13,254
5,-13,251
5,-12,252
5,-12,252
4,-13,252
6,-14,252
5,-14,252
5,-13,252
6,-14,252
4,-13,253
4,-14,252
5,-14,252
5,-14,253
4,-13,251
5,-13,252
5,-13,252
4,-14,253
5,-13,251
6,-14,253
4,-13,253
5,-13,253
5,-13,251
4,-13,252
5,-13,253
4,-13,251
5,-13,252
5,-15,251
4,-11,251
4,-13,252
4,-12,252
5,-13,251
4,-13,250
4,-13,251
6,-14,253
5,-13,253
5,-13,252
5,-13,252
5,-13,253
5,-14,252
4,-13,252
5,-13,252
5,-13,252
5,-13,253
5,-13,253
3,-13,252
6,-14,252
5,-13,251
3,-14,251
5,-14,252
6,-14,251
5,-13,253
5,-13,252
5,-13,252
6,-13,253
4,-14,251
5,-13,252
5,-14,252
5,-13,251
5,-12,253
5,-13,252
5,-13,251
5,-13,252
5,-13,252
5,-13,252
6,-13,251
4,-13,253
5,-14,253
5,-13,253
5,-12,252
5,-13,252
5,-13,251
5,-13,253
4,-13,252
5,-13,252
5,-13,252
5,-14,252
4,-13,252
5,-14,252
4,-13,253
5,-13,251
4,-12,252
6,-13,253
6,-14,253
5,-13,251
4,-12,252
5,-15,253
5,-13,251
5,-14,253
5,-14,252
5,-12,252
4,-13,252
5,-13,253
5,-13,253
5,-14,252
5,-14,252
5,-14,252
4,-13,252
4,-12,252
5,-14,251
5,-14,252
5,-13,251
5,-14,252
5,-13,252
4,-14,253
5,-13,252
5,-13,251
5,-12,251
5,-14,251
5,-13,253
5,-13,253
6,-13,253
4,-14,251
5,-13,252
5,-12,252
5,-14,251
5,-14,253
4,-14,252
5,-13,252
5,-13,252
4,-13,252
5,-13,252
5,-14,252
5,-13,251
5,-13,252
5,-13,254
5,-14,253
4,-13,251
5,-14,253
5,-13,251
4,-13,252
4,-14,253
4,-13,252
4,-13,253
4,-14,252
5,-12,253
5,-14,252
4,-13,252
6,-14,253
5,-14,251
5,-13,252
5,-14,252
5,-13,252
5,-13,253
5,-14,251
6,-13,253
4,-12,252
5,-12,252
6,-14,252
5,-14,253
5,-13,251
4,-13,252
5,-13,251
5,-13,251
5,-13,252
5,-13,252
5,-12,252
5,-13,251
4,-13,-772
6,-14,252
4,-13,251
5,-13,252
4,-13,252
5,-14,253
5,-14,253
5,-13,253
5,-13,251
5,-12,-515
5,-13,253
5,-12,251
4,-14,254
5,-14,253
5,-13,252
5,-13,253
4,-13,253
4,-13,252
5,-13,252
4,-13,251
4,-13,253
4,-13,251
4,-13,253
5,-13,251
5,-13,253
5,-12,252
5,-13,252
5,-14,252
5,-13,251
5,-14,253
5,-13,251
5,-14,251
5,-13,253
4,-14,252
4,-13,252
4,-13,253
5,-13,-1029
6,-13,251
4,-12,254
5,-14,252
5,-14,252
4,-14,253
5,-14,252
5,-14,252
5,-13,252
5,-13,253
4,-13,252
4,-12,253
4,-13,252
4,-12,251
4,-14,251
5,-13,253
4,-13,252
5,-14,252
4,-13,-772
4,-13,254
4,-12,252
5,-13,252
4,-14,253
6,-14,253
5,-14,252
5,-13,253
4,-13,252
5,-13,-515
5,-13,253
5,-13,252
4,-13,252
5,-13,253
5,-13,254
5,-13,253
5,-13,252
5,-13,252
5,-13,-515
5,-12,252
4,-13,252
5,-13,251
5,-13,252
5,-13,252
5,-13,253
5,-14,251
4,-13,254
5,-13,-515
5,-13,252
5,-13,253
5,-14,253
5,-12,252
5,-13,253
4,-13,252
5,-14,252
4,-13,253
6,-12,252
5,-13,251
5,-12,251
4,-13,253
5,-14,252
5,-13,252
4,-13,252
5,-13,252
4,-13,252
5,-13,252
3,-13,252
5,-15,251
5,-13,252
5,-13,253
5,-13,253
4,-13,252
5,-12,253
4,-13,253
4,-13,-515
5,-14,251
5,-13,252
5,-13,252
5,-14,253
4,-13,251
5,-13,251
5,-13,252
5,-14,252
5,-3342,-3342
5,-13,253
5,-13,253
5,-13,251
4,-13,254
5,-14,253
4,-12,252
6,-12,-515
5,-13,252
5,-12,252
5,-14,252
5,-12,253
5,-14,252
4,-13,252
5,-13,252
4,-13,252
4,-13,254
5,-13,253
5,-12,252
4,-13,252
5,-14,251
5,-13,252
4,-13,253
5,-14,253
5,-14,253
4,-13,-1029
4,-13,252
6,-15,253
6,-14,252
5,-12,252
6,-13,251
5,-12,252
4,-13,253
4,-13,253
5,0,0
5,-13,252
5,-13,252
5,-13,252
5,-13,253
6,-13,252
5,-13,252
4,-13,254
4,-14,252
6,-13,-772
5,-13,253
5,-13,251
5,-13,252
5,-13,252
5,-14,254
5,-12,253
4,-13,253
4,-13,251
5,-13,252
5,-13,253
6,-13,253
4,-14,252
4,-13,253
5,-14,251
5,-13,251
5,-14,253
5,-14,253
5,-13,253
5,-14,252
5,-13,253
5,-13,252
4,-12,252
5,-13,252
5,-14,252
5,-13,253
4,-13,252
4,0,0
5,-13,252
4,-12,253
5,-13,252
5,-12,253
5,-13,253
5,-13,253
4,-13,252
6,-13,254
5,-13,253
5,-13,252
4,-15,251
5,-13,252
5,-13,253
4,-13,253
4,-12,252
5,-12,252
5,-14,253
5,-13,-772
5,-13,252
4,-14,253
5,-13,254
5,-13,253
4,-13,252
6,-14,252
5,-14,253
5,-13,252
6,-13,252
5,-12,253
6,-13,254
4,-13,251
5,-12,251
6,-13,252
4,-12,252
5,-13,253
5,-13,252
5,-13,251
5,-14,251
5,-14,251
4,-14,252
5,-13,252
6,-14,253
5,-14,252
5,-13,252
4,-12,252
4,-14,253
5,-13,251
5,-12,252
5,-13,253
5,-13,252
5,-14,254
6,-14,251
4,-12,253
4,-13,252
5,-14,252
5,-13,252
4,-13,253
4,-12,252
5,-14,252
4,-14,253
5,-14,252
4,-13,252
5,-13,252
4,-13,252
4,-13,252
4,-12,252
5,-13,252
5,-13,252
4,-13,252
4,-12,251
5,-13,252
5,-13,252
5,-12,253
5,-13,252
6,-14,252
5,-13,252
4,-12,253
4,-12,251
4,-13,252
5,-12,252
5,-13,252
4,-12,251
5,-12,253
5,-13,251
4,-13,253
4,-13,252
4,-13,252
5,-14,252
5,-13,251
5,-13,253
5,-13,253
5,-13,252
6,-14,252
5,-13,252
5,-13,252
4,-12,252
4,-13,252
6,-15,251
5,-13,253
5,-13,253
4,-12,253
5,-13,252
6,-14,251
5,-13,252
5,-14,252
5,-13,251
5,-13,252
4,-12,253
5,-13,252
4,-13,251
4,-13,253
5,-12,252
5,-13,252
5,-13,251
5,-12,252
6,-14,252
5,-12,251
4,-13,252
5,-13,252
5,-14,252
6,-14,253
5,-13,251
5,-13,252
4,-13,252
5,-13,252
5,-13,253
5,-14,252
4,-13,252
4,-13,253
5,-12,252
4,-13,252
5,-14,251
5,-13,253
5,-13,253
6,-14,252
4,-13,252
4,-12,251
5,-14,252
4,-12,253
5,-13,253
4,-13,253
5,-13,252
4,-13,252
5,-13,251
4,-12,252
5,-13,253
4,-13,252
5,-13,252
6,-13,251
4,-13,252
5,-13,252
5,-13,253
4,-13,251
5,-13,252
6,-13,252
6,-14,252
4,-14,252
4,-13,251
5,-14,251
5,-13,251
4,-13,252
5,-13,252
5,-12,252
4,-11,252
4,-13,251
5,-14,252
5,-13,251
4,-13,252
4,-14,254
5,-13,252
5,-14,253
5,-12,251
4,-12,252
5,-13,252
4,-13,252
4,-13,252
5,-13,252
4,-13,251
5,-13,251
5,-13,251
5,-13,252
5,-13,252
5,-14,252
5,-13,253
5,-13,251
6,-13,252
5,-13,251
5,-13,253
4,-12,252
4,-12,251
5,-14,252
4,-13,252
5,-13,252
5,-14,252
5,-13,252
5,-13,253
5,-13,252
6,-14,252
5,-13,252
5,-13,252
5,-13,254
4,-14,253
4,-13,252
5,-13,250
5,-13,253
4,-14,251
5,-13,251
5,-13,253
4,-13,252
5,-13,252
5,-13,253
5,-14,253
5,-15,252
6,-14,252
5,-13,253
4,-13,252
5,-13,252
5,-13,253
4,-13,252
5,-13,251
6,-13,252
5,-13,252
5,-13,252
4,-13,253
6,-14,253
5,-13,252
4,-13,251
4,-12,252
4,-13,252
5,-13,252
5,-13,252
5,-13,253
5,-13,251
5,-12,253
5,-14,251
5,-13,251
4,-12,253
4,-14,254
6,-13,252
5,-13,253
4,-14,252
4,-13,252
6,-13,252
5,-13,253
4,-13,252
5,-13,252
5,-13,252
5,-14,252
6,-15,251
5,-12,253
5,-13,253
5,-13,251
6,-14,252
5,-13,252
4,-12,251
5,-13,252
5,-13,252
5,-12,253
5,-13,252
5,-13,252
5,-13,252
5,-14,252
5,-12,252
5,-13,253
5,-14,252
4,-13,251
5,-14,254
5,-14,251
5,-13,253
4,-14,253
6,-3085,-3085
5,-14,251
3,-12,251
5,-14,253
5,-13,253
5,-13,252
5,-13,252
5,-13,252
6,-12,252
5,-13,253
4,-14,252
5,-14,253
4,-12,253
4,-13,251
5,-13,252
5,-13,252
5,-13,251
4,-14,252
6,-2828,-2828
5,-13,250
4,-13,252
4,-13,252
4,-12,253
5,-12,252
5,-12,253
5,-13,253
5,-12,252
4,-14,252
5,-13,253
5,-13,252
5,-13,252
5,-13,253
4,-14,254
5,-13,252
5,-13,251
5,-13,251
5,-13,252
5,-13,253
4,-13,252
6,-13,252
5,-14,253
6,-14,252
4,-13,251
5,-13,253
4,-13,252
4,-3342,-3342
5,-13,253
4,-13,253
5,-13,252
5,-13,251
5,-14,252
4,-13,252
5,-14,252
4,-13,253
4,-13,252
6,-14,253
5,-13,251
5,-13,254
5,-14,251
4,-14,252
5,-13,253
5,-13,252
4,-13,252
5,-13,-1029
5,-14,252
4,-12,253
5,-12,252
4,-12,252
5,-13,254
5,-13,253
5,-12,253
4,-13,252
5,-13,-772
5,-13,252
5,-13,252
5,-13,253
4,-12,252
4,-13,253
4,-12,252
6,-12,253
5,-13,251
6,-14,252
4,-13,251
4,-13,252
4,-13,252
4,-12,253
4,-14,252
5,-13,252
5,-13,252
5,-13,252
4,-14,251
5,-13,252
5,-14,252
4,-12,253
5,-13,252
5,-12,253
4,-13,251
